rank,lat,lon,loss_ha,cell_area_ha,loss_pct_of_cell,zone_at_centre
1,36.9604,138.6446,3.8,80.0,4.8,example-aoi
2,36.9529,138.5546,1.9,53.4,3.5,example-aoi
3,36.9784,138.5636,1.7,80.0,2.1,example-aoi
4,37.0864,138.7436,0.8,79.9,1.0,example-aoi
5,36.9529,138.6896,0.6,53.4,1.2,example-aoi
6,36.9604,138.6896,0.6,80.0,0.8,example-aoi
7,36.9784,138.5726,0.5,80.0,0.6,example-aoi
8,36.9604,138.6806,0.4,80.0,0.5,example-aoi
9,37.0324,138.7346,0.4,80.0,0.5,example-aoi
10,36.9874,138.6446,0.4,80.0,0.5,example-aoi
11,36.9784,138.7256,0.3,80.0,0.4,example-aoi
12,37.0594,138.7076,0.3,79.9,0.4,example-aoi
13,37.0414,138.6806,0.2,79.9,0.3,example-aoi
14,37.0774,138.6266,0.2,79.9,0.3,example-aoi
15,37.0954,138.7076,0.2,79.9,0.3,example-aoi
16,37.0954,138.7166,0.2,79.9,0.3,example-aoi
17,36.9604,138.6356,0.2,80.0,0.2,example-aoi
18,36.9604,138.6716,0.2,80.0,0.2,example-aoi
19,36.9784,138.7166,0.2,80.0,0.2,example-aoi
20,36.9964,138.5636,0.2,80.0,0.2,example-aoi
21,37.0414,138.6626,0.2,79.9,0.2,example-aoi
22,36.9784,138.6896,0.1,80.0,0.2,example-aoi
23,37.0144,138.6086,0.1,80.0,0.2,example-aoi
24,36.9694,138.6086,0.1,80.0,0.1,example-aoi
25,37.0864,138.5636,0.1,79.9,0.1,example-aoi
